file_path,file_name,repo_name,ext,title,uuid,summary,keywords,last_modified,section_headings,synonym_data,tags,persona,doc_type
..\data\bluexp-dataset\cm\wf_aws_ontap_create_quote.adoc,wf_aws_ontap_create_quote.adoc,bluexp-dataset,adoc,Create quote,9fa1dd4c-eec3-5afe-9d34-f9f954419b2f,'You can create a quote for a new volume which returns a resource quote needed to satisfy the request.',"cloud, manager, rest, api, aggregate, volume quote",2025-07-09T09:54:54.010198,"Level 2: Create quote for single node, Level 3: Step 1. Select the working environment, Level 3: Step 2. Select the aggregate, Level 3: Step 3. Select the permutations configuration, Level 3: Step 4. Generate the volume quote, Level 2: Create quote for high availability pair, Level 3: Step 1. Select the working environment, Level 3: Step 2. Select the aggregate, Level 3: Step 3. Select the package, Level 3: Step 4. Generate the volume quote","residual, total, availableness, quotation, shape, bring forth, handiness, overcast, parcel, choose, book, senior high school, packet, do work, obscure, substitution, leaf node, degree, tier, bundle, grade, accessibility, work, bingle, brace, transposition, take, inverted comma, knob, produce, constellation, workings, director, one, couple, sum, quotation mark, surround, pick out, make, managing director, coach, surroundings, heights, thickening, render, form, swarm, footstep, environs, yield, senior high, mass, measure, twosome, permutation, bulk, totality, ace, balance, remainder, pace","quote, create quote, volume quote, step, quote details",API Developer,concept
..\data\bluexp-dataset\cm\wf_aws_ontap_create_vol_cifs.adoc,wf_aws_ontap_create_vol_cifs.adoc,bluexp-dataset,adoc,Create volume using CIFS,6a6f9ed3-5865-5ab4-9ac8-6c32e8bfc9ce,'You can use this workflow to create a volume accessed through CIFS.',"vcloud, manager, rest, api",2025-07-09T09:54:54.010198,"Level 2: Create volume using CIFS for single node, Level 3: Step 1. Choose the CIFS configuration, Level 3: Step 2. Select the working environment, Level 3: Step 3. Select the aggregate, Level 3: Step 4. Choose the size for the disk, Level 3: Step 5. Create the quote, Level 3: Step 6. Create the volume, Level 2: Create volume using CIFS for high availability pair, Level 3: Step 1. Choose the CIFS configuration, Level 3: Step 2. Select the working environment, Level 3: Step 3. Select the aggregate, Level 3: Step 4. Choose the size for the disk, Level 3: Step 5. Create the quote, Level 3: Step 6. Create the volume","residual, total, availableness, quotation, shape, handiness, choose, book, senior high school, do work, select, exploitation, victimisation, leaf node, degree, tier, grade, accessibility, work, bingle, brace, inverted comma, take, produce, knob, constellation, workings, director, one, couple, sum, quotation mark, surround, pick out, make, managing director, coach, phonograph record, disc, surroundings, heights, saucer, thickening, form, victimization, footstep, size of it, environs, senior high, twosome, mass, measure, bulk, totality, ace, sizing, balance, remainder, pace","cifs, create, query yes, create volume, volume",Storage Administrator,concept
..\data\bluexp-dataset\cm\wf_aws_ontap_create_vol_iscsi.adoc,wf_aws_ontap_create_vol_iscsi.adoc,bluexp-dataset,adoc,Create volume using iSCSI,ffd61470-03c5-53e7-b1d2-5db6aa2dcbf5,'You can use this workflow to create a volume accessed through iSCSI. There are two workflows available depending on whether a new or existing iGroup is used',"cloud, manager, rest, api",2025-07-09T09:54:54.010198,"Level 2: Create volume using iSCSI for single node, Level 3: Create volume using iSCSI with a new iGroup, Level 4: Step 1. Select the working environment, Level 4: Step 2. Select the aggregate, Level 4: Step 3. Choose the size for the disk, Level 4: Step 4. Choose the iscasiInfo parameters, Level 4: Step 5. Create the quote, Level 4: Step 6. Create the volume, Level 3: Create volume using iSCSI with an existing iGroup, Level 4: Step 1. Select the working environment, Level 4: Step 2. Select the aggregate, Level 4: Step 3. Choose the size for the disk, Level 4: Step 4. Choose the iGroup, Level 4: Step 5. Create the quote, Level 4: Step 6. Create the volume, Level 2: Create volume using iSCSI for high availability pair, Level 3: Create volume using iSCSI with a new iGroup, Level 4: Step 1. Select the working environment, Level 4: Step 2. Select the aggregate, Level 4: Step 3. Choose the size for the disk, Level 4: Step 4. Choose the iscasiInfo parameters, Level 4: Step 5. Create the quote, Level 4: Step 6. Create the volume, Level 3: Create volume using iSCSI with an existing iGroup, Level 4: Step 1. Select the working environment, Level 4: Step 2. Select the aggregate, Level 4: Step 3. Choose the size for the disk, Level 4: Step 4. Choose the iGroup, Level 4: Step 5. Create the quote, Level 4: Step 6. Create the volume","residual, total, availableness, quotation, parametric quantity, handiness, overcast, choose, raw, book, senior high school, novel, do work, select, exploitation, victimisation, obscure, leaf node, degree, tier, grade, accessibility, work, survive, bingle, brace, inverted comma, take, produce, knob, argument, workings, director, one, couple, sum, quotation mark, surround, pick out, make, managing director, coach, phonograph record, disc, parameter, heights, saucer, exist, surroundings, thickening, victimization, swarm, footstep, size of it, environs, senior high, twosome, mass, measure, live, bulk, totality, ace, sizing, fresh, balance, remainder, pace","create volume, create, using iscsi, size, igroup",Storage Administrator,task
..\data\bluexp-dataset\cm\wf_aws_ontap_create_vol_nfs.adoc,wf_aws_ontap_create_vol_nfs.adoc,bluexp-dataset,adoc,Create a volume using NFS,c4074a11-43d2-57de-9d1b-9f066a7d93c5,'You can use this workflow to create a volume accessed through NFS.',"cloud, manager, rest, api, aggregate, svm, virtual, private, cloud",2025-07-09T09:54:54.011199,"Level 2: Create a volume using NFS for single node, Level 3: Step 1. Select a working environment, Level 3: Step 2. Select an aggregate, Level 3: Step 3. Select a virtual private cloud, Level 3: Step 4. Choose the size for the disk, Level 3: Step 5. Select the rules, Level 3: Step 6. Create a quote, Level 3: Step 7. Create a volume, Level 2: Create a volume using NFS for high availability pair, Level 3: Step 1. Select a working environment, Level 3: Step 2. Select an aggregate, Level 3: Step 3. Select a virtual private cloud, Level 3: Step 4. Choose the size for the disk, Level 3: Step 5. Select the rules, Level 3: Step 6. Create a quote, Level 3: Step 7. Create a volume","residual, total, convention, availableness, quotation, regulation, overcast, choose, handiness, book, senior high school, buck private, rule, do work, select, exploitation, victimisation, obscure, leaf node, practical, degree, tier, grade, accessibility, work, bingle, brace, inverted comma, take, produce, knob, workings, director, one, couple, sum, quotation mark, surround, pick out, make, managing director, coach, common soldier, phonograph record, disc, surroundings, heights, saucer, thickening, individual, victimization, swarm, footstep, size of it, environs, senior high, twosome, mass, measure, bulk, totality, ace, sizing, balance, remainder, pace","create volume, query yes, volume, aggregate, create",API Developer,concept
..\data\bluexp-dataset\cm\wf_aws_ontap_delete_aggr.adoc,wf_aws_ontap_delete_aggr.adoc,bluexp-dataset,adoc,Delete an aggregate,5361113f-ca71-5a81-9693-1cfbd44e1060,'You can delete an existing disk aggregate.',"aggregate, delete, working, environment, aws, workflows",2025-07-09T09:54:54.011199,"Level 2: Delete aggregate for single node, Level 3: Step 1. Select the working environment to use, Level 3: Step 2. Select the aggregate to delete, Level 3: Step 3. Delete the aggregate, Level 2: Delete aggregate for high availability pair, Level 3: Step 1. Select the working environment to use, Level 3: Step 2. Select the aggregate to delete, Level 3: Step 3. Delete the aggregate","usage, utilisation, total, availableness, work flow, handiness, erase, choose, senior high school, do work, leaf node, utilization, degree, tier, workflow, grade, work, bingle, edit, cancel, brace, take, knob, workings, one, couple, sum, surround, pick out, surroundings, heights, thickening, footstep, environs, senior high, twosome, measure, totality, ace, accessibility, pace","delete, delete aggregate, aggregate, aggregates, aggregate delete",Storage Administrator,reference
..\data\bluexp-dataset\cm\wf_aws_ontap_delete_cifs.adoc,wf_aws_ontap_delete_cifs.adoc,bluexp-dataset,adoc,Delete a CIFS server configuration,bae968fc-71d2-503d-a411-b60f34b0d513,You can use this workflow to delete a CIFS server configuration for an existing Cloud Volumes ONTAP working environment.,"cifs, server, configuration, occm, aws, working, environment",2025-07-09T09:54:54.011199,"Level 2: Delete CIFS server configuration for single node, Level 3: Step 1. Select the working environment, Level 3: Step 2. Delete the CIFS configurations, Level 2: Delete CIFS server configuration for high availability pair, Level 3: Step 1. Select the working environment, Level 3: Step 2. Delete the CIFS configurations","availableness, shape, handiness, erase, choose, senior high school, do work, host, leaf node, degree, tier, grade, work, bingle, edit, cancel, brace, constellation, take, knob, workings, one, couple, surround, pick out, surroundings, heights, thickening, form, footstep, environs, senior high, twosome, measure, ace, configuration, waiter, accessibility, pace","delete cifs, cifs, delete, server configuration, cifs server",IT Director,task
..\data\bluexp-dataset\cm\wf_aws_ontap_delete_volume.adoc,wf_aws_ontap_delete_volume.adoc,bluexp-dataset,adoc,Delete volume,1544f647-b620-5ca3-a55a-a052595cad9f,"""You can delete an existing volume.""","delete, volume, cloud, manager, rest, api, existing, volume, aws, workflows",2025-07-09T09:54:54.011199,"Level 2: Delete volume for single node, Level 3: Step 1. Select the working environment, Level 3: Step 2. Select the volume, Level 3: Step 3. Delete the volume, Level 2: Delete volume for high availability pair, Level 3: Step 1. Select the working environment, Level 3: Step 2. Select the volume, Level 3: Step 3. Delete the volume","residual, availableness, work flow, handiness, erase, choose, overcast, book, senior high school, do work, obscure, leaf node, degree, tier, grade, workflow, work, survive, accessibility, bingle, edit, cancel, brace, take, knob, workings, director, one, couple, surround, pick out, managing director, coach, surroundings, heights, exist, thickening, swarm, footstep, environs, senior high, twosome, mass, measure, live, bulk, ace, balance, remainder, pace","delete volume, delete, volume, volumename, path yes",IT Director,task
..\data\bluexp-dataset\cm\wf_aws_ontap_get_aggrs.adoc,wf_aws_ontap_get_aggrs.adoc,bluexp-dataset,adoc,Get aggregates,0e082701-e241-553d-beeb-c8b9d220e03a,'You can retrieve a list of available disk aggregates.',"cloud, manager, rest, api, get aggregates",2025-07-09T09:54:54.012198,"Level 2: Get aggregates for single node, Level 3: Step 1. Select the working environment to use, Level 3: Step 2. Get the list of aggregates, Level 2: Get aggregates for high availability pair, Level 3: Step 1. Select the working environment to use, Level 3: Step 2. Get the list of aggregates","residual, usage, utilisation, total, availableness, handiness, overcast, choose, senior high school, do work, obscure, leaf node, utilization, degree, tier, become, grade, accessibility, work, bingle, acquire, listing, brace, take, knob, workings, director, one, let, sum, couple, surround, pick out, managing director, coach, surroundings, heights, thickening, swarm, footstep, tilt, inclination, environs, senior high, twosome, measure, totality, ace, balance, remainder, pace","xx, device, null, size, device xx",Storage Administrator,concept
..\data\bluexp-dataset\cm\wf_aws_ontap_get_cifs.adoc,wf_aws_ontap_get_cifs.adoc,bluexp-dataset,adoc,Get CIFS server configurations,a4f1ed07-6a7e-5b2c-8a7a-c7955b82bedb,"""You can use this workflow to retrieve the CIFS server configurations for an existing Cloud Volumes ONTAP working environment.""","cloud, manager, rest, api",2025-07-09T09:54:54.012198,"Level 2: Get CIFS server configuration for single node, Level 3: Step 1. Select the working environment, Level 3: Step 2. Get the CIFS configurations, Level 2: Get CIFS server configuration for high availability pair, Level 3: Step 1. Select the working environment, Level 3: Step 2. Get the CIFS configurations","residual, availableness, shape, handiness, overcast, choose, senior high school, do work, host, waiter, obscure, leaf node, degree, tier, become, grade, accessibility, work, bingle, acquire, brace, take, constellation, knob, workings, director, one, let, couple, surround, pick out, managing director, coach, surroundings, heights, thickening, form, swarm, footstep, environs, senior high, twosome, measure, ace, configuration, balance, remainder, pace","cifs, configurations, cifs server, working, server",API Developer,task
..\data\bluexp-dataset\cm\wf_aws_ontap_get_igroups.adoc,wf_aws_ontap_get_igroups.adoc,bluexp-dataset,adoc,Get iGroups,9a6874c7-4aa7-5c9e-a0d7-8d203b51bae4,"""You can use this workflow to retrieve all the iGroups.""","cloud, manager, rest, api, igroups, cifs, server, configuration",2025-07-09T09:54:54.012198,"Level 2: Get iGroups for single node, Level 3: 1. Select the working environment, Level 3: 2. Get the iGroups configuration, Level 2: Get iGroups for high availability pair, Level 3: Step 1. Select the working environment, Level 3: Step 2. Get the CIFS configurations","residual, availableness, shape, handiness, overcast, choose, senior high school, do work, host, waiter, obscure, leaf node, degree, tier, become, grade, accessibility, work, bingle, acquire, brace, take, constellation, knob, workings, director, one, let, couple, surround, pick out, managing director, coach, surroundings, heights, thickening, form, swarm, footstep, environs, senior high, twosome, measure, ace, configuration, balance, remainder, pace","igroups, initiators, ostype linux, portsetname igrouptype, retrieve igroups",Storage Administrator,concept
..\data\bluexp-dataset\cm\wf_aws_ontap_get_volumes.adoc,wf_aws_ontap_get_volumes.adoc,bluexp-dataset,adoc,Get volumes,0d85d405-c839-5550-8073-25a9bd84a1dc,"""You can retrieve the list of volumes.""","cloud, manager, rest, api, aws, workflows, get, volumes",2025-07-09T09:54:54.012198,"Level 2: Get volumes for single node, Level 3: Step 1. Select the working environment, Level 3: Step 2. Get the volumes, Level 2: Get volumes for high availability pair, Level 3: 1. Select the working environment, Level 3: 2. Get the volumes","residual, availableness, work flow, handiness, overcast, choose, senior high school, do work, obscure, leaf node, volume, degree, tier, become, grade, workflow, work, accessibility, bingle, acquire, brace, take, knob, workings, director, one, let, couple, surround, pick out, managing director, coach, surroundings, heights, thickening, swarm, footstep, environs, senior high, twosome, measure, mass, bulk, ace, balance, remainder, pace","null, size, unit, ziv04we01haagg01vol01, unit gb",API Developer,concept
..\data\bluexp-dataset\cm\wf_aws_ontap_modify_volume.adoc,wf_aws_ontap_modify_volume.adoc,bluexp-dataset,adoc,Modify a volume,40f360ed-6f83-57e1-9854-c8b350e81c56,"""You can modify the configuration of an existing volume.""","cloud, manager, rest, api, modify, volume, ",2025-07-09T09:54:54.012198,"Level 2: Modify a volume for single node, Level 3: Step 1. Select the working environment, Level 3: Step 2. Select the volume, Level 3: Step 3. Modify the volume, Level 2: Modify volume for high availability pair, Level 3: Step 1. Select the working environment, Level 3: Step 2. Select the volume, Level 3: Step 3. Modify the volume","residual, availableness, qualify, handiness, overcast, choose, senior high school, book, do work, remainder, leaf node, obscure, alter, degree, tier, grade, work, bingle, brace, take, knob, workings, director, one, couple, surround, pick out, managing director, coach, surroundings, change, heights, thickening, swarm, footstep, environs, senior high, twosome, mass, measure, bulk, ace, balance, accessibility, pace","zzz, yyy, modify, xxx, zzz zzz",Storage Administrator,task
..\data\bluexp-dataset\cm\wf_azuregcp_ontap_create_aggr.adoc,wf_azuregcp_ontap_create_aggr.adoc,bluexp-dataset,adoc,Create aggregate,a68f1533-95a2-5bae-b119-311e1089ea3e,'You can create a new aggregate within a working environment.',"cloud, manager, rest, api, aggregate, publicid, working, environment, aws",2025-07-09T09:54:54.019198,"Level 2: Step 1. Create the working environment, Level 2: Step 2. Select the Azure Storage Account Types, Level 2: Step 3. Create the aggregate","residual, entrepot, total, chronicle, overcast, choose, eccentric, type, story, obscure, remainder, do work, degree, tier, grade, work, cerulean, take, storehouse, workings, director, sum, sapphire, surround, pick out, make, managing director, coach, surroundings, history, lazuline, depot, swarm, footstep, environs, measure, character, totality, balance, produce, pace","desired, parameter json, azure, size field, aggregate",Storage Administrator,task
..\data\bluexp-dataset\cm\wf_azure_cloud_create_we_byol.adoc,wf_azure_cloud_create_we_byol.adoc,bluexp-dataset,adoc,Create a working environment with BYOL licensing,78d90599-e784-5b85-abe2-1fdf5fe4e395,'You can use this workflow to create a new Cloud Volumes ONTAP working environment using BYOL licensing.',"byol, license, cloud, manager, rest, api",2025-07-09T09:54:54.012198,"Level 2: Create working environment for single node, Level 3: 1. Select the region, Level 3: 2. Select the workspace, Level 3: 3. Select the VNets, Level 3: 4. Select the Azure availability zone, Level 3: 5. Select Azure packages configuration, Level 3: 6. Obtain the required NSS key, Level 3: 7. Select the Azure cloud provider accounts, Level 3: 8. Select the Azure permutations, Level 3: 9. Select the Azure storage account types, Level 3: 10. Create the working environment, Level 2: Create working environment for high availability pair, Level 3: 1. Select the region, Level 3: 2. Select the workspace, Level 3: 3. Select the VNets, Level 3: 4. Select Azure packages configuration, Level 3: 5. Obtain the required NSS key, Level 3: 6. Select Azure cloud provider accounts, Level 3: 7. Select the Azure permutations, Level 3: 8. Select the Azure storage account types, Level 3: 9. Create the working environment","samara, account, supplier, licence, substitution, leaf node, degree, find, license, director, surround, make, surroundings, lazuline, permission, postulate, receive, character, residual, entrepot, zona, handiness, chronicle, overcast, neighborhood, do work, tier, bundle, necessitate, transposition, constellation, knob, storehouse, workings, one, coach, ask, geographical zone, thickening, certify, form, swarm, ace, accessibility, remainder, choose, eccentric, senior high school, key fruit, packet, work, bingle, cerulean, brace, take, part, permit, sapphire, couple, managing director, heights, history, environs, balance, district, package, availableness, shape, type, story, obscure, get, grade, tonality, pick out, depot, senior high, area, twosome, permutation, produce","desired, null, azure, step 10, parameter step",IT Director,task
..\data\bluexp-dataset\cm\wf_azure_cloud_create_we_capacity.adoc,wf_azure_cloud_create_we_capacity.adoc,bluexp-dataset,adoc,Create a working environment with capacity-based license,94fddfa8-996a-5ed5-b9e3-e0663a15d34b,"'You can use this workflow to create a new Cloud Volumes ONTAP working environment using PAYGO (""pay as you go"") licensing. A new volume is also created with the working environment.'","paygo, cloud, volumes, ontap, connector, region, workspace",2025-07-09T09:54:54.013198,"Level 2: Create working environment for single node, Level 3: 1. Select the region, Level 3: 2. Select the workspace, Level 3: 3. Select the VNets, Level 3: 4. Select the Azure availability zone, Level 3: 5. Get the Azure packages configuration, Level 3: 6. (Optional) Obtain an NSS key, Level 3: 7. Select the Azure cloud provider accounts, Level 3: 8. Select the Azure permutations, Level 3: 9. Select the capacity package name, Level 3: 10. Attach a marketplace subscription, Level 3: 11. (Optional) Add a BYOL license, Level 3: 12. Select the Azure storage account types, Level 3: 13. Create the working environment, Level 2: Create working environment for high availability pair, Level 3: 1. Select the region, Level 3: 2. Select the workspace, Level 3: 3. Select the VNets, Level 3: 4. Get Azure packages configuration, Level 3: 5. (Optional) Obtain an NSS key, Level 3: 6. Select Azure cloud provider accounts, Level 3: 7. Select Azure permutations, Level 3: 8. Select the capacity package name, Level 3: 9. Attach a marketplace subscription, Level 3: 10. (Optional) Add a BYOL license, Level 3: 11. Select Azure storage account types, Level 3: 12. Create the working environment","samara, account, figure, supplier, licence, substitution, leaf node, degree, find, tie, surround, connecter, make, content, surroundings, connection, lazuline, permission, receive, character, bulk, gens, entrepot, zona, handiness, chronicle, parcel, overcast, neighborhood, do work, tier, bundle, bind, acquire, transposition, constellation, knob, storehouse, workings, one, let, public figure, geographical zone, thickening, form, swarm, ace, accessibility, adhd, choose, eccentric, senior high school, key fruit, packet, market, volume, become, work, bingle, cerulean, brace, take, part, permit, sapphire, couple, connexion, heights, history, attention deficit disorder, attention deficit hyperactivity disorder, mart, environs, mass, capacitance, district, package, availableness, shape, capability, type, story, obscure, get, grade, tonality, pick out, market place, depot, senior high, area, bond, twosome, permutation, produce","desired, null, step 13, azure, 13",Storage Administrator,task
..\data\bluexp-dataset\cm\wf_azure_cloud_create_we_paygo.adoc,wf_azure_cloud_create_we_paygo.adoc,bluexp-dataset,adoc,Create a working environment with PAYGO,c3d176b8-f444-5c8f-9773-135d6e3256f7,"'You can use this workflow to create a new Cloud Volumes ONTAP working environment using PAYGO (""pay as you go"") licensing. A new volume is also created with the working environment.'","paygo, cloud, volumes, ontap, connector, BlueXP, region, workspace",2025-07-09T09:54:54.013198,"Level 2: Create working environment for single node, Level 3: 1. Select the region, Level 3: 2. Select the workspace, Level 3: 3. Select the VNets, Level 3: 4. Select the Azure availability zone, Level 3: 5. Get the Azure packages configuration, Level 3: 6. Attach a marketplace subscription, Level 3: 7. (Optional) Obtain an NSS key, Level 3: 8. Select the Azure cloud provider accounts, Level 3: 9. Select the Azure permutations, Level 3: 10. Select the Azure storage account types, Level 3: 11. Create the working environment, Level 2: Create working environment for high availability pair, Level 3: 1. Select the region, Level 3: 2. Select the workspace, Level 3: 3. Select the VNets, Level 3: 4. Get Azure packages configuration, Level 3: 5. Attach a marketplace subscription, Level 3: 6. (Optional) Obtain an NSS key, Level 3: 7. Select Azure cloud provider accounts, Level 3: 8. Select Azure permutations, Level 3: 9. Select Azure storage account types, Level 3: 10. Create the working environment","samara, account, supplier, leaf node, substitution, degree, find, tie, surround, connecter, make, surroundings, connection, lazuline, receive, character, bulk, entrepot, zona, handiness, chronicle, overcast, neighborhood, do work, tier, bundle, bind, acquire, transposition, constellation, knob, storehouse, workings, one, let, geographical zone, thickening, form, swarm, ace, accessibility, choose, eccentric, senior high school, key fruit, packet, market, volume, become, work, bingle, cerulean, brace, take, part, sapphire, couple, connexion, heights, history, mart, environs, mass, district, package, availableness, shape, type, story, obscure, get, grade, tonality, pick out, market place, depot, senior high, area, bond, twosome, permutation, produce","desired, null, azure, step 11, parameter step",Storage Administrator,concept
..\data\bluexp-dataset\cm\wf_azure_cloud_delete_we.adoc,wf_azure_cloud_delete_we.adoc,bluexp-dataset,adoc,Delete a working environment,d79dbeb1-7366-53a0-93d0-f1390632f0f7,'You can delete an existing Cloud Volumes ONTAP working environment.',"cloud, manager, rest, api, working, environment, cloud, volumes, ontap, occm",2025-07-09T09:54:54.013198,"Level 2: Delete working environment for single node, Level 3: Step 1. Create the working environment to use, Level 3: Step 2. Delete the working environment, Level 2: Delete working environment for high availability pair, Level 3: Step 1. Create the working environment to use, Level 3: Step 2. Delete the working environment","residual, usage, utilisation, availableness, handiness, erase, overcast, senior high school, do work, obscure, leaf node, utilization, volume, degree, tier, grade, accessibility, work, bingle, edit, cancel, brace, produce, knob, workings, director, one, couple, surround, make, managing director, coach, surroundings, heights, thickening, swarm, footstep, environs, senior high, twosome, measure, mass, bulk, ace, balance, remainder, pace","delete, working, working environment, environment, delete working",IT Director,task
..\data\bluexp-dataset\cm\wf_azure_cloud_get_wes.adoc,wf_azure_cloud_get_wes.adoc,bluexp-dataset,adoc,Get working environment,eebc5983-8d6e-587c-bd79-918d7e5424b2,"""You can retrieve the Cloud Volumes ONTAP working environments that are visible to the user currently signed in.""","cloud, manager, rest, api, list, working, environment, occm",2025-07-09T09:54:54.013198,"Level 2: Get working environment for single node, Level 3: Step 1. Create the working environment, Level 3: Step 2. Get the working environment, Level 2: Get working environment for high availability pair, Level 3: Step 1. Create an Azure HA working environment, Level 3: Step 2. Get the working environment","residual, availableness, handiness, overcast, senior high school, do work, obscure, leaf node, degree, tier, become, grade, accessibility, work, bingle, cerulean, acquire, listing, produce, brace, knob, workings, director, one, sapphire, let, couple, surround, make, managing director, coach, surroundings, heights, lazuline, thickening, swarm, footstep, tilt, inclination, environs, senior high, twosome, measure, ace, balance, remainder, pace","null, 255, shirleyha2701, day hour, hour",API Developer,reference
..\data\bluexp-dataset\cm\wf_azure_cloud_md_create_account.adoc,wf_azure_cloud_md_create_account.adoc,bluexp-dataset,adoc,Create Azure cloud provider account,ca9dd6e8-f83e-5694-8792-c052eb1d9f20,"""You can use this workflow to create an Azure cloud provider account.""","azure, cloud, provider, saas, marketplace, account",2025-07-09T09:54:54.014198,,"swarm, sapphire, mart, market, make, supplier, market place, cerulean, chronicle, overcast, history, lazuline, produce, story, obscure","azure, azure cloud, cloud provider, provider, providertype",API Developer,concept
..\data\bluexp-dataset\cm\wf_azure_cloud_md_get_availability_zones.adoc,wf_azure_cloud_md_get_availability_zones.adoc,bluexp-dataset,adoc,Get Azure availability zones,f0a022db-f5f2-5342-970e-3873cd1de111,You can perform this workflow to retrieve the Azure availability zones by region.,"permutations, cloud, volumes, ontap, working, environment, occm",2025-07-09T09:54:54.014198,,"availableness, zona, handiness, overcast, do work, obscure, substitution, volume, become, work, cerulean, acquire, transposition, workings, let, sapphire, surround, zone, geographical zone, surroundings, lazuline, swarm, environs, mass, permutation, bulk, accessibility","zones, availability zones, azure, region, azure availability",API Developer,reference
..\data\bluexp-dataset\cm\wf_azure_cloud_md_get_packages.adoc,wf_azure_cloud_md_get_packages.adoc,bluexp-dataset,adoc,Get Azure packages,d047a7e8-c936-5b9d-9026-b2151e12c702,You can perform this workflow to retrieve the pre-defined packages configuration.,"permutations, cloud, volumes, ontap, working, environment, occm",2025-07-09T09:54:54.014198,"Level 2: Get packages for single node, Level 2: Get packages for high availability pair","package, availableness, handiness, overcast, senior high school, packet, do work, obscure, leaf node, substitution, volume, degree, tier, bundle, grade, become, work, bingle, cerulean, acquire, brace, transposition, knob, workings, one, surround, sapphire, couple, let, surroundings, heights, lazuline, thickening, swarm, environs, senior high, twosome, mass, permutation, bulk, ace, accessibility","packages, instancetenancy null, description licensetype, null instancetenancy, instancetypemapping region",Storage Administrator,task
..\data\bluexp-dataset\cm\wf_azure_cloud_md_get_permutations.adoc,wf_azure_cloud_md_get_permutations.adoc,bluexp-dataset,adoc,Get Azure permutations,468e1b34-386e-5dc0-82bc-2ec5f8326c9c,You can use the permutations endpoint to retrieve the Cloud Volumes ONTAP configuration information.,"permutations, cloud, volumes, ontap, working, environment, occm",2025-07-09T09:54:54.014198,"Level 2: Get permutations for single node, Level 2: Get permutations for high availability pair","availableness, handiness, overcast, senior high school, do work, obscure, leaf node, substitution, volume, degree, tier, become, grade, work, bingle, cerulean, acquire, brace, transposition, knob, workings, one, sapphire, couple, surround, let, surroundings, heights, lazuline, thickening, swarm, environs, senior high, twosome, mass, permutation, bulk, ace, accessibility","string, permutations, azure, supports, tb",API Developer,concept
..\data\bluexp-dataset\cm\wf_azure_cloud_md_get_regions.adoc,wf_azure_cloud_md_get_regions.adoc,bluexp-dataset,adoc,Get Azure regions,b4f480a5-8522-5585-a524-f3c7a1bd8db7,This workflow retrieves the Azure regions in which an Cloud Volumes ONTAP working environment may be created.,"cloud, volumes, ontap, cvo, regions, aws, workflows",2025-07-09T09:54:54.014198,"Level 2: Get Azure regions for single node, Level 2: Get Azure regions for high availability pair","availableness, work flow, handiness, overcast, senior high school, obscure, leaf node, volume, degree, tier, become, workflow, grade, bingle, cerulean, acquire, brace, knob, region, part, one, sapphire, couple, let, heights, lazuline, thickening, swarm, senior high, area, mass, twosome, bulk, ace, accessibility","azure regions, vnets null, regions, azure, null displayname",Storage Administrator,task
..\data\bluexp-dataset\cm\wf_azure_cloud_md_get_storage_account_types.adoc,wf_azure_cloud_md_get_storage_account_types.adoc,bluexp-dataset,adoc,Get Azure storage account types,36d65405-1fe6-5ac2-b2f6-783ab4bc122a,You can retrieve the supported Azure storage account types.,"permutations, cloud, volumes, ontap, working, environment, occm",2025-07-09T09:54:54.015198,"Level 2: Get Azure storage account types for single node, Level 2: Get Azure storage account types for high availability pair, Level 3: 1. Get the storage account types","entrepot, availableness, handiness, chronicle, overcast, eccentric, senior high school, type, do work, story, obscure, substitution, leaf node, volume, degree, tier, become, grade, work, bingle, cerulean, acquire, brace, transposition, knob, storehouse, workings, one, sapphire, let, couple, surround, surroundings, heights, history, lazuline, thickening, depot, swarm, environs, senior high, twosome, mass, character, permutation, bulk, ace, accessibility","volumes ontap, premium cloud, cloud volumes, byol cloud, ontap premium",Storage Administrator,task
..\data\bluexp-dataset\cm\wf_azure_cloud_md_get_vnets.adoc,wf_azure_cloud_md_get_vnets.adoc,bluexp-dataset,adoc,Get Azure VNets,3126dc57-3b3a-5982-bf3e-efdb8d886835,You can perform this workflow to retrieve the network extended information.,"permutations, cloud, volumes, ontap, working, environment, occm",2025-07-09T09:54:54.015198,"Level 2: Get Azure VNets for single node, Level 2: Get Azure VNets for high availability pair","availableness, handiness, overcast, senior high school, do work, obscure, leaf node, substitution, volume, degree, tier, become, grade, work, bingle, cerulean, acquire, brace, transposition, knob, workings, one, sapphire, couple, surround, let, surroundings, heights, lazuline, thickening, swarm, environs, senior high, twosome, mass, permutation, bulk, ace, accessibility","occm_group_eastus2, resourcegroups occm_group_eastus2, occm_group_eastus2 providers, subscriptions xxxxxxxx00000000000000, xxxxxxxx00000000000000",API Developer,task
