query,expected_urls,predicted_url,match,similarity
wf aws cloud md get key pairs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_key_pairs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_key_pairs.html,True,0.6383
wf aws cloud md get packages,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_packages.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_packages.html,True,0.6298
wf aws cloud md get permutations,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_permutations.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_permutations.html,True,0.6156
wf aws cloud md get regions,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_regions.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_regions.html,True,0.6978
wf aws cloud md get route tables,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_route_tables.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_route_tables.html,True,0.687
wf aws cloud md get vpcs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_vpcs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_cloud_md_get_vpcs.html,True,0.6331
wf aws ontap add disks aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_add_disks_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_add_disks_aggr.html,True,0.7255
wf aws ontap create aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_aggr.html,True,0.5876
wf aws ontap create cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_cifs.html,True,0.6692
wf aws ontap create quote,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_quote.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_quote.html,True,0.5967
wf aws ontap create vol cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_vol_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_vol_cifs.html,True,0.6655
wf aws ontap create vol iscsi,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_vol_iscsi.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_vol_iscsi.html,True,0.658
wf aws ontap create vol nfs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_vol_nfs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_vol_nfs.html,True,0.6761
wf aws ontap delete aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_delete_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_delete_aggr.html,True,0.6268
wf aws ontap delete cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_delete_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_delete_cifs.html,True,0.7005
wf aws ontap delete volume,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_delete_volume.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_delete_volume.html,True,0.7077
wf aws ontap get aggrs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_get_aggrs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_aggr.html,False,0.5478
wf aws ontap get cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_get_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_onprem_ontap_get_cifs.html,False,0.6183
wf aws ontap get igroups,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_get_igroups.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_get_igroups.html,True,0.656
wf aws ontap get volumes,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_get_volumes.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_create_vol_cifs.html,False,0.6572
wf aws ontap modify volume,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_modify_volume.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_aws_ontap_modify_volume.html,True,0.6601
wf azuregcp ontap create aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_aggr.html,True,0.5219
wf azure cloud create we byol,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_create_we_byol.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_create_we_byol.html,True,0.5797
wf azure cloud create we capacity,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_create_we_capacity.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_create_we_capacity.html,True,0.6253
wf azure cloud create we paygo,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_create_we_paygo.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_create_we_paygo.html,True,0.7068
wf azure cloud delete we,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_delete_we.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_delete_we.html,True,0.6083
wf azure cloud get wes,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_get_wes.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_vnets.html,False,0.5393
wf azure cloud md create account,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_create_account.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_create_account.html,True,0.6487
wf azure cloud md get availability zones,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_availability_zones.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_availability_zones.html,True,0.7292
wf azure cloud md get packages,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_packages.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_packages.html,True,0.6715
wf azure cloud md get permutations,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_permutations.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_permutations.html,True,0.6499
wf azure cloud md get regions,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_regions.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_availability_zones.html,False,0.6509
wf azure cloud md get storage account types,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_storage_account_types.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_storage_account_types.html,True,0.7931
wf azure cloud md get vnets,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_vnets.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_vnets.html,True,0.6386
wf azure ontap add disks aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_add_disks_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_add_disks_aggr.html,True,0.6983
wf azure ontap create aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_aggr.html,True,0.569
wf azure ontap create cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_cifs.html,True,0.6514
wf azure ontap create quote,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_quote.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_quote.html,True,0.6101
wf azure ontap create vol cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_vol_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_vol_cifs.html,True,0.6541
wf azure ontap create vol iscsi,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_vol_iscsi.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_vol_iscsi.html,True,0.688
wf azure ontap create vol nfs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_vol_nfs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_vol_nfs.html,True,0.6761
wf azure ontap delete aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_delete_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_delete_aggr.html,True,0.6126
wf azure ontap delete cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_delete_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_delete_cifs.html,True,0.6777
wf azure ontap delete volume,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_delete_volume.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_delete_volume.html,True,0.6656
wf azure ontap get aggrs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_get_aggrs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_get_aggrs.html,True,0.5505
wf azure ontap get cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_get_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_onprem_ontap_get_cifs.html,False,0.6254
wf azure ontap get igroups,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_get_igroups.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_get_igroups.html,True,0.6574
wf azure ontap get volumes,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_get_volumes.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_create_vol_cifs.html,False,0.6541
wf azure ontap modify volume,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_modify_volume.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_ontap_modify_volume.html,True,0.6619
wf common before,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_before.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_before.html,True,0.121
wf common identity create nss key,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_create_nss_key.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_delete_nss_key.html,False,0.4782
wf common identity delete nss key,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_delete_nss_key.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_delete_nss_key.html,True,0.6238
wf common identity get accounts,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_accounts.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_tenants.html,False,0.4403
wf common identity get nss key,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_nss_key.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_nss_key.html,True,0.4918
wf common identity get nss keys,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_nss_keys.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_nss_key.html,False,0.4759
wf common identity get provider accounts,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_provider_accounts.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_nss_keys.html,False,0.4474
wf common identity get saas mp,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_saas_mp.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_saas_mp.html,True,0.5008
wf common identity get supported srv,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_supported_srv.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_nss_key.html,False,0.3888
wf common identity get tenants,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_tenants.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_identity_get_tenants.html,True,0.5388
wf common occm attach subscription,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_occm_attach_subscription.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_occm_attach_subscription.html,True,0.4131
wf common occm get task,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_occm_get_task.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_occm_get_task.html,True,0.305
wf common ontap md get snapmirror policies,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_md_get_snapmirror_policies.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_md_get_snapmirror_policies.html,True,0.6612
wf common ontap md get snapmirror svm policies,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_md_get_snapmirror_svm_policies.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_md_get_snapmirror_svm_policies.html,True,0.658
wf common ontap repl create repl,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_create_repl.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_create_repl.html,True,0.3595
wf common ontap repl delete repl,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_delete_repl.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_delete_repl.html,True,0.4349
wf common ontap repl get ic lifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_ic_lifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_ic_lifs.html,True,0.4324
wf common ontap repl get rel status,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_rel_status.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_rel_we_status.html,False,0.3914
wf common ontap repl get rel we status,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_rel_we_status.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_update_repl.html,False,0.3848
wf common ontap repl get sm rels,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_sm_rels.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_sm_rels.html,True,0.3364
wf common ontap repl get we schedules,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_we_schedules.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_get_we_schedules.html,True,0.3977
wf common ontap repl update repl,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_update_repl.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_common_ontap_repl_update_repl.html,True,0.4041
wf cvo before,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_cvo_before.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_cvo_before.html,True,0.2161
wf gcp cloud create we byol,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_create_we_byol.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_create_we_byol.html,True,0.5505
wf gcp cloud create we capacity,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_create_we_capacity.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_supported_tiers.html,False,0.5985
wf gcp cloud create we paygo,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_create_we_paygo.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_create_we_paygo.html,True,0.7115
wf gcp cloud delete we,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_delete_we.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_delete_we.html,True,0.6496
wf gcp cloud get wes,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_get_wes.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_zones.html,False,0.4897
wf gcp cloud md create buckets,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_create_buckets.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_create_buckets.html,True,0.6761
wf gcp cloud md get buckets,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_buckets.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_zones.html,False,0.6453
wf gcp cloud md get disk types,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_disk_types.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_disk_types.html,True,0.6726
wf gcp cloud md get encryption keys,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_encryption_keys.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_encryption_keys.html,True,0.6542
wf gcp cloud md get instance type nosupport,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_instance_type_nosupport.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_instance_type_nosupport.html,True,0.6101
wf gcp cloud md get network requirements,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_network_requirements.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_azure_cloud_md_get_network_requirements.html,True,0.5444
wf gcp cloud md get packages,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_packages.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_packages.html,True,0.6279
wf gcp cloud md get permutations,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_permutations.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_permutations.html,True,0.5972
wf gcp cloud md get projects,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_projects.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_projects.html,True,0.5909
wf gcp cloud md get regions,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_regions.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_zones.html,False,0.7042
wf gcp cloud md get service accounts,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_service_accounts.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_service_accounts.html,True,0.6192
wf gcp cloud md get supported features,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_supported_features.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_supported_features.html,True,0.6212
wf gcp cloud md get supported tiers,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_supported_tiers.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_supported_tiers.html,True,0.6034
wf gcp cloud md get tag keys,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_tag_keys.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_tag_keys.html,True,0.6355
wf gcp cloud md get vpcs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_vpcs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_vpcs.html,True,0.5937
wf gcp cloud md get zones,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_zones.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_zones.html,True,0.6956
wf gcp cloud md snapshot policies,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_snapshot_policies.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_snapshot_policies.html,True,0.6637
wf gcp ontap add disks aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_add_disks_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_add_disks_aggr.html,True,0.6839
wf gcp ontap create aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_aggr.html,True,0.5064
wf gcp ontap create cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_cifs.html,True,0.6196
wf gcp ontap create quote,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_quote.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_quote.html,True,0.5201
wf gcp ontap create vol cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_vol_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_vol_cifs.html,True,0.5785
wf gcp ontap create vol iscsi,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_vol_iscsi.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_vol_iscsi.html,True,0.605
wf gcp ontap create vol nfs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_vol_nfs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_create_vol_nfs.html,True,0.5726
wf gcp ontap delete aggr,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_delete_aggr.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_delete_aggr.html,True,0.5279
wf gcp ontap delete cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_delete_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_delete_cifs.html,True,0.6404
wf gcp ontap delete volume,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_delete_volume.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_delete_volume.html,True,0.6443
wf gcp ontap get aggrs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_get_aggrs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_get_aggrs.html,True,0.4861
wf gcp ontap get cifs,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_get_cifs.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_get_cifs.html,True,0.5648
wf gcp ontap get igroups,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_get_igroups.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_get_igroups.html,True,0.615
wf gcp ontap get volumes,['https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_ontap_get_volumes.html'],https://docs.netapp.com/us-en/bluexp-automation/cm/wf_gcp_cloud_md_get_vpcs.html,False,0.6525
